Switchs;software;version;modelo;garantia;fabricante;pilha;IP
REGULACAO-SW-1920-0.20;comware;5.20.99;1920-48-G;lifetime;HP;1;172.16.0.20
REGULACAO-SW-1920-0.21;comware;5.20.99;1920-48-G;lifetime;HP;1;172.16.0.21
REGULACAO-SW-1920-0.22;comware;5.20.99;1920-48-G;lifetime;HP;1;172.16.0.22
REGULACAO-SW-3600-0.53;comware;5.20.99;3600-24-EI;não;HP;1;172.16.0.53
SAMU-SW-4500-SAMU-ATEND-0.69;procurve;V-3;4500-24;lifetime;3com;2;172.16.0.69
SAMU-SW-4500-SAMU-REG-0.67;procurve;V-3;4500-24;lifetime;3com;3;172.16.0.67
SAMU-SW-5500-SAMU-REG-0.76;comware;5.20.99;5500-G-24;não;HPE;1;172.16.0.76
SANEAR-SW-4500-22.38.2;procurve;V-3;4500-24;lifetime;3com;1;172.22.38.2
SANEAR-SW-4500-22.38.6;procurve;V-3;4500-24;lifetime;3com;1;172.22.38.6
SEDEC-SW-1900-GEO-130.10;comware;;1910-24;lifetime;HP;1;192.168.130.10
SEDEC-SW-5500-EI-0.66;procurve;V-3;5500-24-EI;não;3com;1;172.16.0.66
URB-SW-4500-0.112;procurve;V-3;4500-24;lifetime;3com;1;172.16.0.112
URB-SW-4500-0.114;procurve;V-3;4500-48;lifetime;3com;1;172.16.0.114
URB-SW-4500-0.115;procurve;V-3;4500-48;lifetime;3com;2;172.16.0.115
URB-SW-4500-0.116;procurve;V-3;4500-24;lifetime;3com;3;172.16.0.116
URB-SW-4500-0.121;procurve;V-3;4500-48;lifetime;3com;1;172.16.0.121
URB-SW-4500-0.123;procurve;V-3;4500-48;lifetime;3com;1;172.16.0.123
URB-SW-5500-0.68;procurve;V-3;5500-24-SI;não;3com;1;172.16.0.68
URB-SW-1910-BL-A-0.59;comware;5.20.99;1910-24-G;lifetime;HP;1;172.16.0.59
CTTU-SW-1920-S-133;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.133
CTTU-SW-1920-S-138;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.138
CTTU-SW-1920-S-139;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.139
CTTU-SW-1920-S-140;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.140
CTTU-SW-1910-G-134;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.134
CTTU-SW-1910-G-135;comware;5.20.99;1920-24-G;lifetime;HP;1;172.16.0.135
CTTU-SW-1910-G-137;comware;5.20.99;1910-24-G;lifetime;HP;1;172.16.0.137
CTTU-SW-1910-G-160;comware;5.20.99;1910-24-G;lifetime;HP;1;172.16.0.160
CTTU-SW-3600-131;comware;5.20.99;3600-24-EI;não;HP;1;172.16.0.131
CTTU-SW-3600-132;comware;5.20.99;3600-24-EI;não;HP;1;172.16.0.132
CTTU-SW-3600-142;comware;5.20.99;3600-24-EI;não;HP;1;172.16.0.142
CTTU-SW-5500-EI;procurve;V-3;5500-24-EI;não;3com;1;172.16.0.85
COMPAZ-CODEIRO-SW-1920.22.77.2;comware;5.20.99;1920-24-G;lifetime;HP;1;172.22.77.2
